,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
30assets_sig_mtm_sample,58.78,70.07,0.84,0.32,-1.4,46.0,407.0,407.0,0.42,0.48,1.16,1.21,1.11,1.29,4.38
30assets_sig_mtm_nls,54.74,68.68,0.8,0.32,-1.49,136.0,521.0,521.0,0.37,0.48,1.15,1.15,1.08,1.24,4.56
30assets_sig_mtm_ls,57.1,69.1,0.83,0.32,-1.46,136.0,497.0,497.0,0.39,0.5,1.15,1.2,1.06,1.22,5.25
30assets_sig_mtm_id,56.81,104.52,0.54,0.48,-2.55,136.0,497.0,497.0,0.22,0.71,1.1,0.81,0.99,1.09,2.33
30assets_sig_mcd_sample,-24.01,34.86,-0.69,0.16,-1.75,735.0,,746.0,-0.14,0.8,0.87,-0.96,0.94,0.82,14.28
30assets_sig_mcd_nls,-21.36,34.33,-0.62,0.16,-1.67,735.0,,746.0,-0.13,0.76,0.88,-0.87,1.04,0.92,14.74
30assets_sig_mcd_ls,-22.52,35.12,-0.64,0.16,-1.7,735.0,,746.0,-0.13,0.78,0.88,-0.89,1.0,0.88,18.46
30assets_sig_mcd_id,-32.85,64.64,-0.51,0.3,-2.08,632.0,,746.0,-0.16,0.71,0.91,-0.66,0.94,0.86,8.28
30assets_sig_mean_rev_sample,40.97,33.42,1.23,0.15,-1.43,114.0,365.0,365.0,0.29,0.79,1.24,1.8,1.13,1.4,4.46
30assets_sig_mean_rev_nls,37.7,32.83,1.15,0.15,-1.41,114.0,368.0,368.0,0.27,0.78,1.22,1.69,1.16,1.42,3.93
